date;unit_sales
2013-01-01;1,0
2013-01-02;362,0
2013-01-03;358,0
2013-01-04;395,0
2013-01-05;555,0
2013-01-06;576,0
2013-01-07;260,0
2013-01-08;316,0
2013-01-09;319,0
2013-01-10;276,0
2013-01-11;310,0
2013-01-12;449,0
2013-01-13;468,0
2013-01-14;260,0
2013-01-15;242,0
2013-01-16;334,0
2013-01-17;296,0
2013-01-18;328,0
2013-01-19;498,0
2013-01-20;441,0
2013-01-21;239,0
2013-01-22;260,0
2013-01-23;262,0
2013-01-24;260,0
2013-01-25;327,0
2013-01-26;488,0
2013-01-27;424,0
2013-01-28;191,0
2013-01-29;267,0
2013-01-30;258,0
2013-01-31;273,0
2013-02-01;412,0
2013-02-02;601,0
2013-02-03;501,0
2013-02-04;306,0
2013-02-05;291,0
2013-02-06;306,0
2013-02-07;281,0
2013-02-08;320,0
2013-02-09;457,0
2013-02-10;299,0
2013-02-11;357,0
2013-02-12;445,0
2013-02-13;346,0
2013-02-14;391,0
2013-02-15;396,0
2013-02-16;568,0
2013-02-17;385,0
2013-02-18;313,0
2013-02-19;294,0
2013-02-20;275,0
2013-02-21;265,0
2013-02-22;353,0
2013-02-23;478,0
2013-02-24;468,0
2013-02-25;240,0
2013-02-26;275,0
2013-02-27;300,0
2013-02-28;273,0
2013-03-01;417,0
2013-03-02;610,0
2013-03-03;503,0
2013-03-04;314,0
2013-03-05;300,0
2013-03-06;308,0
2013-03-07;326,0
2013-03-08;335,0
2013-03-09;532,0
2013-03-10;453,0
2013-03-11;260,0
2013-03-12;238,0
2013-03-13;265,0
2013-03-14;257,0
2013-03-15;286,0
2013-03-16;552,0
2013-03-17;481,0
2013-03-18;247,0
2013-03-19;234,0
2013-03-20;254,0
2013-03-21;234,0
2013-03-22;299,0
2013-03-23;486,0
2013-03-24;349,0
2013-03-25;173,0
2013-03-26;228,0
2013-03-27;173,0
2013-03-28;184,0
2013-03-29;273,0
2013-03-30;446,0
2013-03-31;403,0
2013-04-01;347,0
2013-04-02;336,0
2013-04-03;338,0
2013-04-04;272,0
2013-04-05;349,0
2013-04-06;513,0
2013-04-07;488,0
2013-04-08;253,0
2013-04-09;300,0
2013-04-10;244,0
2013-04-11;243,0
2013-04-12;273,0
2013-04-13;438,0
2013-04-14;426,0
2013-04-15;249,0
2013-04-16;286,0
2013-04-17;212,0
2013-04-18;238,0
2013-04-19;295,0
2013-04-20;501,0
2013-04-21;419,0
2013-04-22;258,0
2013-04-23;265,0
2013-04-24;287,0
2013-04-25;239,0
2013-04-26;293,0
2013-04-27;515,0
2013-04-28;404,0
2013-04-29;220,0
2013-04-30;261,0
2013-05-01;601,0
2013-05-02;262,0
2013-05-03;311,0
2013-05-04;420,0
2013-05-05;448,0
2013-05-06;206,0
2013-05-07;235,0
2013-05-08;252,0
2013-05-09;288,0
2013-05-10;379,0
2013-05-11;849,0
2013-05-12;501,0
2013-05-13;242,0
2013-05-14;229,0
2013-05-15;263,0
2013-05-16;261,0
2013-05-17;261,0
2013-05-18;422,0
2013-05-19;362,0
2013-05-20;193,0
2013-05-21;231,0
2013-05-22;253,0
2013-05-23;218,0
2013-05-24;477,0
2013-05-25;400,0
2013-05-26;393,0
2013-05-27;202,0
2013-05-28;216,0
2013-05-29;269,0
2013-05-30;260,0
2013-05-31;299,0
2013-06-01;595,0
2013-06-02;474,0
2013-06-03;266,0
2013-06-04;289,0
2013-06-05;289,0
2013-06-06;263,0
2013-06-07;334,0
2013-06-08;475,0
2013-06-09;487,0
2013-06-10;237,0
2013-06-11;256,0
2013-06-12;277,0
2013-06-13;254,0
2013-06-14;377,0
2013-06-15;706,0
2013-06-16;429,0
2013-06-17;208,0
2013-06-18;265,0
2013-06-19;264,0
2013-06-20;245,0
2013-06-21;301,0
2013-06-22;448,0
2013-06-23;411,0
2013-06-24;197,0
2013-06-25;222,0
2013-06-26;209,0
2013-06-27;287,0
2013-06-28;274,0
2013-06-29;506,0
2013-06-30;428,0
2013-07-01;333,0
2013-07-02;314,0
2013-07-03;286,0
2013-07-04;277,0
2013-07-05;336,0
2013-07-06;530,0
2013-07-07;467,0
2013-07-08;218,0
2013-07-09;267,0
2013-07-10;293,0
2013-07-11;269,0
2013-07-12;325,0
2013-07-13;454,0
2013-07-14;397,0
2013-07-15;243,0
2013-07-16;287,0
2013-07-17;233,0
2013-07-18;279,0
2013-07-19;285,0
2013-07-20;425,0
2013-07-21;357,0
2013-07-22;262,0
2013-07-23;260,0
2013-07-24;253,0
2013-07-25;260,0
2013-07-26;306,0
2013-07-27;350,0
2013-07-28;391,0
2013-07-29;243,0
2013-07-30;262,0
2013-07-31;262,0
2013-08-01;378,0
2013-08-02;388,0
2013-08-03;513,0
2013-08-04;438,0
2013-08-05;326,0
2013-08-06;281,0
2013-08-07;276,0
2013-08-08;291,0
2013-08-09;351,0
2013-08-10;407,0
2013-08-11;428,0
2013-08-12;301,0
2013-08-13;269,0
2013-08-14;275,0
2013-08-15;288,0
2013-08-16;354,0
2013-08-17;443,0
2013-08-18;383,0
2013-08-19;287,0
2013-08-20;285,0
2013-08-21;335,0
2013-08-22;303,0
2013-08-23;292,0
2013-08-24;430,0
2013-08-25;420,0
2013-08-26;273,0
2013-08-27;258,0
2013-08-28;285,0
2013-08-29;276,0
2013-08-30;368,0
2013-08-31;548,0
2013-09-01;544,0
2013-09-02;347,0
2013-09-03;316,0
